Test ID: 182,,,,User: Von Der Haar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test Name: YEAST GROWTH,,,,Path: C:\Program Files (x86)\BMG\Omega\VONDERHAAR\Data\,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date: 25/06/2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time: 12:47:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID1: 110625 SGRP FLucs 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance,,,Absorbance values are displayed as OD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Content,"Well
Col","Well
Row",Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595),Raw Data (A595)
YPS128:max,4,B,0.399,0.373,0.372,0.378,0.372,0.373,0.376,0.375,0.377,0.379,0.374,0.376,0.377,0.377,0.373,0.375,0.387,0.394,0.387,0.387,0.391,0.396,0.401,0.408,0.418,0.426,0.426,0.427,0.43,0.436,0.45,0.455,0.462,0.476,0.488,0.502,0.52,0.542,0.57,0.609,0.663,0.709,0.763,0.815,0.857,0.907,0.959,1.015,1.081,1.158,1.215,1.274,1.331,1.391
YPS128:max,5,B,0.393,0.366,0.368,0.37,0.365,0.367,0.367,0.368,0.368,0.373,0.365,0.37,0.37,0.382,0.384,0.397,0.371,0.376,0.378,0.386,0.392,0.409,0.421,0.433,0.423,0.43,0.447,0.456,0.466,0.484,0.48,0.488,0.489,0.5,0.516,0.535,0.554,0.594,0.649,0.686,0.738,0.806,0.856,0.908,0.961,1.027,1.077,1.133,1.192,1.242,1.307,1.359,1.416,1.476
YPS128:max,6,B,0.42,0.387,0.389,0.396,0.392,0.392,0.394,0.391,0.386,0.391,0.386,0.394,0.403,0.415,0.424,0.44,0.45,0.415,0.447,0.46,0.434,0.467,0.477,0.491,0.499,0.519,0.538,0.552,0.572,0.604,0.637,0.68,0.72,0.762,0.817,0.869,0.91,0.965,1.017,1.07,1.124,1.181,1.246,1.308,1.369,1.425,1.472,1.519,1.573,1.625,1.675,1.718,1.771,1.818
273614N:C,1,C,0.391,0.379,0.384,0.383,0.389,0.391,0.399,0.438,0.461,0.487,0.518,0.557,0.583,0.618,0.654,0.696,0.765,0.859,0.967,1.088,1.218,1.366,1.518,1.679,1.85,2.014,2.169,2.321,2.474,2.614,2.741,2.854,2.94,2.954,2.96,2.972,2.978,2.992,3.006,3.021,3.042,3.062,3.088,3.109,3.133,3.155,3.175,3.195,3.215,3.23,3.256,3.27,3.283,3.298
273614N:C,2,C,0.423,0.403,0.408,0.407,0.417,0.428,0.452,0.474,0.503,0.531,0.573,0.625,0.69,0.756,0.836,0.943,1.07,1.215,1.368,1.533,1.71,1.897,2.081,2.269,2.443,2.608,2.772,2.928,3.067,3.188,3.289,3.336,3.342,3.347,3.361,3.369,3.385,3.404,3.426,3.44,3.462,3.485,3.5,3.526,3.55,3.568,3.586,3.603,3.624,3.64,3.654,3.668,3.684,3.693
273614N:C,3,C,0.397,0.378,0.383,0.382,0.388,0.396,0.402,0.426,0.434,0.46,0.484,0.499,0.505,0.54,0.589,0.649,0.728,0.83,0.95,1.075,1.218,1.376,1.549,1.721,1.896,2.076,2.243,2.407,2.567,2.718,2.853,2.975,3.076,3.153,3.164,3.176,3.185,3.186,3.202,3.219,3.238,3.255,3.277,3.302,3.325,3.353,3.37,3.395,3.42,3.439,3.463,3.478,3.5,3.519
273614N:max,4,C,0.411,0.384,0.391,0.388,0.394,0.403,0.406,0.424,0.444,0.459,0.469,0.493,0.516,0.524,0.553,0.59,0.615,0.654,0.713,0.765,0.837,0.916,1,1.097,1.207,1.321,1.453,1.595,1.739,1.895,2.049,2.213,2.362,2.506,2.65,2.789,2.909,3.017,3.101,3.12,3.135,3.145,3.154,3.171,3.191,3.217,3.241,3.263,3.297,3.32,3.353,3.379,3.404,3.434
273614N:max,5,C,0.386,0.369,0.368,0.366,0.377,0.386,0.426,0.423,0.466,0.462,0.406,0.379,0.411,0.388,0.378,0.384,0.394,0.408,0.438,0.464,0.498,0.555,0.621,0.686,0.75,0.829,0.922,1.029,1.135,1.261,1.388,1.528,1.662,1.81,1.955,2.104,2.245,2.383,2.511,2.63,2.741,2.84,2.928,2.983,2.997,3.006,3.019,3.029,3.046,3.06,3.078,3.093,3.113,3.136
273614N:max,6,C,0.406,0.381,0.377,0.373,0.382,0.385,0.388,0.397,0.418,0.431,0.409,0.42,0.421,0.423,0.409,0.399,0.394,0.402,0.416,0.424,0.45,0.492,0.522,0.561,0.613,0.672,0.733,0.796,0.863,0.953,1.045,1.135,1.265,1.394,1.522,1.66,1.81,1.983,2.129,2.27,2.405,2.526,2.633,2.736,2.815,2.868,2.877,2.886,2.899,2.901,2.922,2.933,2.953,2.972
DBVPG6044:max,1,D,0.388,0.42,0.374,0.382,0.395,0.369,0.408,0.401,0.365,0.378,0.375,0.367,0.41,0.394,0.446,0.468,0.471,0.486,0.477,0.464,0.45,0.477,0.507,0.534,0.57,0.608,0.653,0.697,0.747,0.806,0.869,0.933,1.007,1.08,1.155,1.224,1.298,1.375,1.448,1.522,1.599,1.669,1.737,1.801,1.858,1.919,1.974,2.031,2.087,2.14,2.191,2.242,2.286,2.337
DBVPG6044:max,2,D,0.389,0.372,0.38,0.372,0.377,0.387,0.384,0.378,0.379,0.388,0.384,0.386,0.399,0.415,0.388,0.417,0.421,0.427,0.44,0.451,0.469,0.475,0.498,0.52,0.542,0.57,0.595,0.608,0.621,0.648,0.688,0.726,0.768,0.815,0.866,0.924,0.981,1.051,1.124,1.195,1.266,1.344,1.422,1.494,1.575,1.656,1.732,1.802,1.865,1.922,1.982,2.038,2.087,2.145
DBVPG6044:max,3,D,0.386,0.373,0.372,0.369,0.367,0.373,0.376,0.372,0.374,0.379,0.378,0.387,0.393,0.406,0.429,0.435,0.467,0.475,0.466,0.458,0.458,0.478,0.463,0.463,0.457,0.473,0.505,0.516,0.541,0.546,0.569,0.591,0.625,0.661,0.702,0.747,0.796,0.877,0.933,0.994,1.051,1.111,1.18,1.238,1.291,1.345,1.403,1.466,1.52,1.579,1.641,1.698,1.755,1.804
DBVPG6044:C,4,D,0.435,0.419,0.505,0.45,0.485,0.522,0.616,0.654,0.74,0.812,0.904,0.94,0.985,0.986,0.997,1.013,1,0.895,0.921,0.896,0.914,0.957,1.004,1.072,1.143,1.215,1.289,1.356,1.417,1.487,1.543,1.603,1.655,1.706,1.76,1.812,1.859,1.905,1.95,1.994,2.035,2.073,2.113,2.154,2.19,2.227,2.27,2.304,2.338,2.376,2.411,2.448,2.473,2.507
DBVPG6044:C,5,D,0.442,0.404,0.421,0.46,0.45,0.473,0.493,0.543,0.581,0.718,0.685,0.664,0.707,0.772,0.743,0.713,0.698,0.625,0.622,0.643,0.674,0.702,0.745,0.783,0.829,0.874,0.921,0.968,1.013,1.06,1.103,1.141,1.18,1.222,1.264,1.301,1.341,1.38,1.419,1.454,1.489,1.52,1.552,1.594,1.628,1.666,1.698,1.729,1.782,1.816,1.847,1.877,1.912,1.943
DBVPG6044:C,6,D,0.412,0.387,0.393,0.402,0.443,0.5,0.51,0.565,0.674,0.722,0.768,0.82,0.849,0.796,0.581,0.583,0.608,0.657,0.682,0.711,0.747,0.793,0.842,0.897,0.954,1.008,1.071,1.128,1.184,1.238,1.292,1.342,1.394,1.451,1.504,1.551,1.593,1.64,1.688,1.725,1.768,1.802,1.845,1.88,1.917,1.953,1.986,2.019,2.048,2.085,2.118,2.147,2.171,2.205
